boro,year,lat,lon,n
BRONX,2006,40.84168395728507,-73.9049481740724,221
BRONX,2007,40.833973112809915,-73.91096241223141,121
BRONX,2008,40.850257506972476,-73.9037399880734,109
BRONX,2009,40.827147621016046,-73.9065143382353,187
BRONX,2010,40.82313748503704,-73.90938018029628,135
BRONX,2011,40.83173512684015,-73.90760264029741,269
BRONX,2012,40.834459562607,-73.9041834292607,257
BRONX,2013,40.86079091255319,-73.90051649680852,47
BRONX,2014,40.84019481534162,-73.90554598018633,161
BRONX,2015,40.83180769617284,-73.91122473259259,81
BRONX,2016,40.845138722134834,-73.90604215775281,89
BRONX,2017,40.829498388000005,-73.91029318885714,35
BRONX,2018,40.84218867378379,-73.91535443297299,37
BRONX,2019,40.830948047435896,-73.90840072115384,78
BRONX,2020,40.836390518577076,-73.90484206051384,253
BRONX,2021,40.83511838652047,-73.90444158078947,342
BRONX,2022,40.837828139193554,-73.90560928564517,248
BRONX,2023,40.84309914798507,-73.90798748679106,134
BRONX,2024,40.83721455714285,-73.90675406357143,224
BRONX,2025,40.8416656790625,-73.9105674934375,32
BROOKLYN,2006,40.67454438022222,-73.92400558633334,450
BROOKLYN,2007,40.67754430335631,-73.92522080850576,435
BROOKLYN,2008,40.677257052547425,-73.92204791566395,369
BROOKLYN,2009,40.67622515406824,-73.92364719553805,381
BROOKLYN,2010,40.67579234575916,-73.91812721303666,382
BROOKLYN,2011,40.67560753028424,-73.92562898160207,387
BROOKLYN,2012,40.675997573441556,-73.92383092743508,308
BROOKLYN,2013,40.676989825238095,-73.9229266461039,231
BROOKLYN,2014,40.67587000385892,-73.92297765908714,241
BROOKLYN,2015,40.66720350461539,-73.90323504683762,117
BROOKLYN,2016,40.67388484473283,-73.91755956740458,131
BROOKLYN,2017,40.668093575,-73.934276125,294
BROOKLYN,2018,40.66411553693877,-73.91116405306123,49
BROOKLYN,2019,40.67290538829788,-73.92481417297873,47
BROOKLYN,2020,40.67402248669154,-73.9191296788806,402
BROOKLYN,2021,40.66770448336788,-73.91322622202073,193
BROOKLYN,2022,40.666535768106066,-73.91767152969697,132
BROOKLYN,2023,40.664967986557386,-73.91619389803279,61
BROOKLYN,2024,40.669144006603766,-73.91045367716981,53
BROOKLYN,2025,40.663194641,-73.91061271133334,30
