year,lat,lon,n
2006.0,40.734480398454664,-73.90855360161558,1566.0
2007.0,40.73372914132979,-73.90915736131649,3008.0
2008.0,40.733038141230125,-73.90864940264797,4528.0
2009.0,40.73269576859953,-73.90850406094485,5948.0
2010.0,40.73330147282172,-73.90839586481202,7421.0
2011.0,40.73337801381481,-73.90833613036278,8931.0
2012.0,40.73364298462927,-73.90785386273195,10304.0
2013.0,40.733314967077234,-73.90822613906987,11407.0
2014.0,40.73320657729072,-73.90836492820972,12579.0
2015.0,40.73317317285194,-73.9087516286287,13717.0
2016.0,40.73306062534661,-73.90891319946174,14714.0
2017.0,40.733298726650325,-73.90910905074631,15503.0
2018.0,40.73359478169958,-73.90916391730639,16257.0
2019.0,40.73390687526653,-73.90920356334215,17034.0
2020.0,40.733760860044164,-73.90925830538941,18566.0
2021.0,40.73506773466266,-73.90904817689736,20128.0
2022.0,40.73580740419708,-73.90894189780833,21422.0
2023.0,40.736412938487675,-73.90918796528979,22396.0
2024.0,40.73718164168798,-73.90909388798197,23300.0
2025.0,40.737573830291815,-73.90904929881108,23988.0
